ID,Name,JurisdictionID,VoteCenters/0,VoteCenters/1,VoteCenters/2,VoteCenters/3,VoteCenters/4,VoteCenters/5,VoteCenters/6,VoteCenters/7,VoteCenters/8,VoteCenters/9,VoteCenters/10,VoteCenters/11,RaceDistricts/0,RaceDistricts/1,RaceDistricts/2,RaceDistricts/3,RaceDistricts/4,RaceDistricts/5,RaceDistricts/6,RaceDistricts/7,RaceDistricts/8,ActiveQualified/1,ActiveQualified/2,ActiveQualified/3,ActiveQualified/4,ActiveQualified/5,ActiveQualified/7
500000375,017-014,17,1589,1355,1357,1359,1364,1354,1361,1356,1363,1358,1360,1362,2,19,62,113,142,154,7520,500000038,500000467,110,1635,9,4,374,51
500000376,017-015,17,1589,1357,1359,1361,1354,1356,1358,1363,1360,1355,1364,1362,2,19,62,113,142,154,7520,500000038,500000467,14,175,1,0,49,1
500000377,018-013,17,1590,1358,1355,1360,1362,1364,1357,1361,1359,1354,1356,1363,2,19,65,113,142,154,7523,500000180,500000469,22,716,2,3,71,9
500000378,018-014,17,1590,1362,1355,1360,1359,1364,1357,1363,1361,1356,1354,1358,2,19,65,113,142,154,7523,500000469,,6,158,1,3,14,5
500000379,018-015,17,1509,1362,1358,1355,1359,1364,1357,1356,1363,1361,1354,1360,2,19,65,113,142,154,7523,500000180,500000469,4,72,0,0,6,1
500000380,018-016,17,1565,1356,1363,1361,1354,1360,1358,1355,1362,1359,1357,1364,2,19,65,113,142,154,7524,500000180,500000469,0,10,0,0,0,1
500000384,020-014,17,1547,1360,1355,1362,1357,1359,1364,1354,1361,1356,1363,1358,2,19,62,113,142,154,7521,500000467,,19,212,0,2,38,5
500000385,020-015,17,1562,1359,1354,1356,1361,1363,1358,1360,1362,1355,1364,1357,2,19,62,113,142,154,7521,500000467,,4,117,0,0,23,3
500000386,020-016,17,1591,1361,1363,1356,1360,1358,1364,1357,1362,1355,1354,1359,2,19,62,113,142,154,7523,500000467,,15,341,1,0,42,1
500000387,020-017,17,1587,1360,1357,1362,1355,1361,1354,1359,1363,1356,1364,1358,2,19,65,113,142,154,7523,500000469,,0,0,0,0,0,0
500000388,020-018,17,1592,1364,1355,1357,1362,1361,1354,1359,1358,1363,1356,1360,2,19,62,113,142,154,7523,500000467,,27,905,1,1,151,9
500000389,020-019,17,1593,1361,1354,1362,1364,1357,1355,1360,1356,1358,1363,1359,2,19,65,113,142,154,7521,500000469,,120,1412,5,3,220,34
500000390,020-020,17,1591,1364,1363,1359,1355,1357,1362,1358,1360,1361,1356,1354,2,19,62,113,142,154,7521,500000467,,15,236,0,0,17,4
500000391,020-021,17,1593,1358,1354,1356,1363,1361,1360,1355,1362,1357,1364,1359,2,19,65,90,142,154,7521,500000037,500000469,130,845,6,5,193,36
500000401,009-013,17,1594,1358,1360,1362,1357,1364,1359,1361,1354,1356,1363,1355,2,19,67,90,142,154,7526,500000471,,97,2128,3,0,208,45
500000402,009-014,17,1594,1359,1357,1354,1364,1356,1363,1361,1360,1358,1362,1355,2,19,67,113,142,154,7526,500000183,500000471,0,0,0,0,0,0
500000403,013-022,17,1583,1363,1361,1360,1358,1357,1362,1355,1359,1364,1356,1354,2,19,113,142,154,7523,500000239,500000492,,16,733,1,1,72,17
500000419,002-003,10,837,827,,,,,,,,,,,2,12,38,87,159,7692,7698,500000482,,80,26,0,0,12,1
500000420,002-004,10,848,827,,,,,,,,,,,2,12,37,87,159,7693,7698,500000482,,109,68,0,1,26,3
500000421,014-003,10,840,827,,,,,,,,,,,2,12,38,87,159,7692,7694,500000482,,373,278,6,0,104,1
500000424,010-003,23,1747,1735,,,,,,,,,,,2,25,38,87,159,7573,500000482,,,306,116,7,0,83,5
500000425,014-002,23,1754,1735,,,,,,,,,,,2,25,87,159,7576,500000241,500000483,,,484,329,10,2,230,7
500000426,004-002,23,1738,1735,,,,,,,,,,,2,25,87,159,7576,500000241,500000483,,,269,156,4,1,114,3
500000427,005-001,23,1739,1735,,,,,,,,,,,2,25,37,87,159,7572,500000482,,,387,1684,22,11,437,12
500000428,016-004,23,1751,1735,,,,,,,,,,,2,25,84,87,159,7574,500000483,,,258,374,8,0,174,12
500000429,011-004,23,1766,1735,,,,,,,,,,,2,25,84,87,159,7576,500000483,,,892,1011,17,8,510,23
