county,candidate,early_vote,electday_vote,absentee_vote,total_vote,reporting
Allegany,Larry  Hogan and Boyd K. Rutherford,2055,15993,1176,19224,37 of 37
Allegany,Ben  Jealous and Susan  Turnbull,516,2689,780,3985,37 of 37
Allegany,Shawn  Quinn and Christina  Smith,12,136,18,166,37 of 37
Allegany,Ian  Schlakman and Annie  Chambers,17,100,22,139,37 of 37
Allegany,Other Write-Ins,2,13,1,16,37 of 37
Anne Arundel,Larry  Hogan and Boyd K. Rutherford,44549,103436,9217,157202,195 of 195
Anne Arundel,Ben  Jealous and Susan  Turnbull,23891,39497,6011,69399,195 of 195
Anne Arundel,Shawn  Quinn and Christina  Smith,318,913,135,1366,195 of 195
Anne Arundel,Ian  Schlakman and Annie  Chambers,315,619,118,1052,195 of 195
Anne Arundel,Other Write-Ins,60,113,14,187,195 of 195
Baltimore City,Larry  Hogan and Boyd K. Rutherford,14937,39208,4215,58360,296 of 296
Baltimore City,Ben  Jealous and Susan  Turnbull,32098,81160,10351,123609,296 of 296
Baltimore City,Shawn  Quinn and Christina  Smith,236,717,102,1055,296 of 296
Baltimore City,Ian  Schlakman and Annie  Chambers,358,1005,128,1491,296 of 296
Baltimore City,Other Write-Ins,41,119,16,176,296 of 296
Baltimore,Larry  Hogan and Boyd K. Rutherford,59150,128960,10102,198212,236 of 236
Baltimore,Ben  Jealous and Susan  Turnbull,41257,72308,9298,122863,236 of 236
Baltimore,Shawn  Quinn and Christina  Smith,384,1142,152,1678,236 of 236
Baltimore,Ian  Schlakman and Annie  Chambers,434,930,218,1582,236 of 236
Baltimore,Other Write-Ins,82,161,58,301,236 of 236
Calvert,Larry  Hogan and Boyd K. Rutherford,6176,21923,1511,29610,23 of 23
Calvert,Ben  Jealous and Susan  Turnbull,2484,5968,764,9216,23 of 23
Calvert,Shawn  Quinn and Christina  Smith,51,237,15,303,23 of 23
Calvert,Ian  Schlakman and Annie  Chambers,26,98,6,130,23 of 23
Calvert,Other Write-Ins,5,17,3,25,23 of 23
Caroline,Larry  Hogan and Boyd K. Rutherford,2544,6622,323,9489,8 of 8
Caroline,Ben  Jealous and Susan  Turnbull,514,1281,105,1900,8 of 8
Caroline,Shawn  Quinn and Christina  Smith,19,58,5,82,8 of 8
Caroline,Ian  Schlakman and Annie  Chambers,9,18,1,28,8 of 8
Caroline,Other Write-Ins,3,3,0,6,8 of 8
Carroll,Larry  Hogan and Boyd K. Rutherford,13525,46689,2231,62445,36 of 36
Carroll,Ben  Jealous and Susan  Turnbull,3127,7704,936,11767,36 of 36
Carroll,Shawn  Quinn and Christina  Smith,99,414,20,533,36 of 36
Carroll,Ian  Schlakman and Annie  Chambers,74,173,14,261,36 of 36
Carroll,Other Write-Ins,10,32,3,45,36 of 36
Cecil,Larry  Hogan and Boyd K. Rutherford,5831,20340,892,27063,28 of 28
