ID,NAME,county,ghost,rep_voters,dem_voters,lib_voters,green_voters,una_voters,other_voters,active_qualified_total,schuh,pittman,write_in,total_votes,perc_schuh,perc_pittman,perc_write_in,winner,perc_winner,area,zipcode,area_mi
6908,ANNE ARUNDEL PRECINCT 01-001,Anne Arundel County,0,656,681,14,4,306,9,1670,523,265,0,788,66.37055837563452,33.629441624365484,0,schuh,66.37055837563452,1635970.789443791,"21061, 21090, 21225",0.6316518531172124
6909,ANNE ARUNDEL PRECINCT 01-002,Anne Arundel County,0,659,631,9,4,353,6,1662,503,272,2,777,64.73616473616474,35.006435006435005,0.2574002574002574,schuh,64.73616473616474,4413867.758161537,"21076, 21090, 21240",1.7042038689486287
6910,ANNE ARUNDEL PRECINCT 01-003,Anne Arundel County,0,747,883,17,3,429,4,2083,422,219,1,642,65.73208722741433,34.112149532710276,0.1557632398753894,schuh,65.73208722741433,2508751.6447134316,21061,0.9686344252716497
6911,ANNE ARUNDEL PRECINCT 01-004,Anne Arundel County,0,452,1131,12,4,367,8,1974,276,360,0,636,43.39622641509434,56.60377358490566,0,pittman,56.60377358490566,3320107.8080178387,"21061, 21090, 21225, 21227",1.2819007912704838
6912,ANNE ARUNDEL PRECINCT 01-005,Anne Arundel County,0,475,835,11,7,395,10,1733,252,364,1,617,40.84278768233388,58.995137763371154,0.1620745542949757,pittman,58.995137763371154,1737647.7041527033,"21076, 21144",0.6709095293602954
6913,ANNE ARUNDEL PRECINCT 01-006,Anne Arundel County,0,498,1299,14,8,491,8,2318,294,539,0,833,35.294117647058826,64.70588235294117,0,pittman,64.70588235294117,17308010.162732363,"21075, 21076, 21077, 21090, 21144, 21227, 21240",6.682660083911643
6914,ANNE ARUNDEL PRECINCT 01-007,Anne Arundel County,0,581,556,14,7,368,9,1535,434,239,1,674,64.39169139465875,35.459940652818986,0.1483679525222552,schuh,64.39169139465875,6940664.373211324,"21076, 21090, 21227",2.679805496217986
6915,ANNE ARUNDEL PRECINCT 01-008,Anne Arundel County,0,816,858,11,6,463,5,2159,562,262,3,827,67.956469165659,31.680773881499398,0.36275695284159615,schuh,67.956469165659,2365967.5940841734,"21061, 21090, 21225",0.913505195118209
6916,ANNE ARUNDEL PRECINCT 01-009,Anne Arundel County,0,744,697,14,3,368,7,1833,488,212,1,701,69.6148359486448,30.24251069900143,0.14265335235378032,schuh,69.6148359486448,14674258.180450082,"21061, 21076, 21077, 21090, 21240",5.665762758486083
6917,ANNE ARUNDEL PRECINCT 01-010,Anne Arundel County,0,557,510,5,1,256,11,1340,414,251,0,665,62.255639097744364,37.74436090225564,0,schuh,62.255639097744364,1073387.0367061198,21090,0.41443705182409
6918,ANNE ARUNDEL PRECINCT 01-011,Anne Arundel County,0,469,396,6,6,243,1,1121,396,189,1,586,67.57679180887372,32.25255972696246,0.17064846416382254,schuh,67.57679180887372,2529979.3010447323,21090,0.9768304692019696
6919,ANNE ARUNDEL PRECINCT 01-012,Anne Arundel County,0,426,1747,15,8,554,14,2764,193,556,1,750,25.733333333333334,74.13333333333333,0.13333333333333333,pittman,74.13333333333333,1424118.8568143696,"21061, 21225",0.5498553646375295
6920,ANNE ARUNDEL PRECINCT 01-013,Anne Arundel County,0,262,562,11,7,257,6,1105,148,172,0,320,46.25,53.75,0,pittman,53.75,544118.4398648739,"21225, 21227",0.21008530413476725
6921,ANNE ARUNDEL PRECINCT 01-014,Anne Arundel County,0,629,794,13,6,346,9,1797,363,213,2,578,62.80276816608996,36.851211072664356,0.34602076124567477,schuh,62.80276816608996,1670535.380181998,21061,0.6449973162103826
6922,ANNE ARUNDEL PRECINCT 01-015,Anne Arundel County,0,533,809,10,3,367,8,1730,429,253,1,683,62.811127379209374,37.042459736456806,0.14641288433382138,schuh,62.811127379209374,1589747.0678102374,21225,0.6138047744186159
6923,ANNE ARUNDEL PRECINCT 01-016,Anne Arundel County,0,511,966,13,5,411,8,1914,314,300,1,615,51.056910569105696,48.78048780487805,0.16260162601626016,schuh,51.056910569105696,1192708.0887334347,21225,0.4605071675714338
6924,ANNE ARUNDEL PRECINCT 01-017,Anne Arundel County,0,365,629,15,3,313,8,1333,205,200,0,405,50.617283950617285,49.382716049382715,0,schuh,50.617283950617285,3315738.954826832,"21060, 21061, 21225, 21226",1.2802139676230795
6925,ANNE ARUNDEL PRECINCT 01-018,Anne Arundel County,0,582,1561,16,3,521,13,2696,308,456,1,765,40.26143790849673,59.6078431372549,0.130718954248366,pittman,59.6078431372549,8801625.962658554,"21060, 21061, 21225, 21226",3.3983267828687973
6926,ANNE ARUNDEL PRECINCT 01-019,Anne Arundel County,0,483,1230,11,5,525,9,2263,278,536,0,814,34.15233415233415,65.84766584766585,0,pittman,65.84766584766585,1238167.867310822,21144,0.47805928620704063
6927,ANNE ARUNDEL PRECINCT 01-020,Anne Arundel County,0,565,1214,19,4,512,14,2328,299,443,1,743,40.242261103633915,59.623149394347244,0.13458950201884254,pittman,59.623149394347244,1739409.639622569,"20755, 21076, 21144",0.6715898164484236
6928,ANNE ARUNDEL PRECINCT 01-021,Anne Arundel County,0,279,1556,10,2,440,8,2295,145,595,0,740,19.594594594594593,80.4054054054054,0,pittman,80.4054054054054,2017245.8195412755,"20755, 21144",0.7788629652363214
6929,ANNE ARUNDEL PRECINCT 01-022,Anne Arundel County,0,1074,2543,47,15,1377,16,5072,539,1020,2,1561,34.52914798206278,65.34272901985906,0.12812299807815503,pittman,65.34272901985906,7336368.142922282,"20794, 21076, 21144",2.832587575846909
7076,ANNE ARUNDEL PRECINCT 01-023,Anne Arundel County,0,232,723,14,3,274,7,1253,135,357,1,493,27.38336713995943,72.41379310344827,0.2028397565922921,pittman,72.41379310344827,11994545.11309743,"20701, 20723, 20724, 20755, 20794",4.631119758905882
750000030,ANNE ARUNDEL PRECINCT 01-024,Anne Arundel County,0,306,759,15,3,327,5,1415,188,321,0,509,36.93516699410609,63.0648330058939,0,pittman,63.0648330058939,1031117.0278761983,"21076, 21077, 21144",0.39811651017323424
500000321,ANNE ARUNDEL PRECINCT 01-025,Anne Arundel County,0,432,570,10,5,337,7,1361,298,259,0,557,53.50089766606823,46.49910233393178,0,schuh,53.50089766606823,7651391.787883878,"20794, 21075, 21076",2.954218885158601
500000333,ANNE ARUNDEL PRECINCT 01-026,Anne Arundel County,0,345,2402,17,9,640,9,3422,171,909,1,1081,15.818686401480111,84.08880666049954,0.09250693802035154,pittman,84.08880666049954,2408923.4194924384,"21113, 21144",0.9300905320303277
NA,ANNE ARUNDEL PRECINCT 01-099,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1157146.8091985509,"20724, 20755",0.4467768807824713
6930,ANNE ARUNDEL PRECINCT 02-001,Anne Arundel County,0,620,671,11,4,379,8,1693,339,268,1,608,55.75657894736842,44.07894736842105,0.1644736842105263,schuh,55.75657894736842,3722068.2838629186,"21076, 21077, 21144, 21240",1.4370985986431593
6931,ANNE ARUNDEL PRECINCT 02-002,Anne Arundel County,0,512,717,7,5,303,8,1552,289,299,0,588,49.14965986394558,50.85034013605442,0,pittman,50.85034013605442,1187047.3206595182,"21061, 21108",0.45832153279908444
6932,ANNE ARUNDEL PRECINCT 02-003,Anne Arundel County,0,570,789,15,5,360,6,1745,391,285,2,678,57.66961651917404,42.0353982300885,0.2949852507374631,schuh,57.66961651917404,1643264.0965227783,"21061, 21144",0.6344678147233249
6933,ANNE ARUNDEL PRECINCT 02-004,Anne Arundel County,0,785,1099,16,5,474,11,2390,401,410,3,814,49.26289926289926,50.368550368550366,0.36855036855036855,pittman,50.368550368550366,7399815.055986702,"21061, 21144",2.8570845659339588
6934,ANNE ARUNDEL PRECINCT 02-005,Anne Arundel County,0,521,1115,16,6,481,13,2152,333,387,0,720,46.25,53.75,0,pittman,53.75,1291546.9374863803,21061,0.49866906042283116
6935,ANNE ARUNDEL PRECINCT 02-006,Anne Arundel County,0,561,723,14,4,332,8,1642,290,231,2,523,55.44933078393881,44.168260038240916,0.3824091778202677,schuh,55.44933078393881,1198518.960070312,21061,0.4627507575376166
6936,ANNE ARUNDEL PRECINCT 02-007,Anne Arundel County,0,823,1272,14,4,569,10,2692,448,485,0,933,48.01714898177921,51.982851018220785,0,pittman,51.982851018220785,5002511.651856601,"21061, 21076, 21144, 21240",1.93148054691733
6937,ANNE ARUNDEL PRECINCT 02-008,Anne Arundel County,0,919,1020,19,4,558,7,2527,508,310,2,820,61.951219512195124,37.80487804878049,0.24390243902439024,schuh,61.951219512195124,3182258.6559095345,"21060, 21061",1.2286769360881733
6938,ANNE ARUNDEL PRECINCT 02-009,Anne Arundel County,0,536,1169,15,3,483,12,2218,306,467,1,774,39.53488372093023,60.3359173126615,0.12919896640826875,pittman,60.3359173126615,1771791.273887664,"21061, 21144",0.6840924353353203
